Table 1: Business birth and death rates,,,,,,,
"UK, 2019 to 2024",,,,,,,
,,,,,,,
Count to nearest thousand,,,,,,,
,Active ,,Births ,,,Deaths ,
,Count,,Count,Rate (%),,Count,Rate (%)
,,,,,,,
2019,"2,889",,364,12.6,,303,10.5
2020,"2,897",,333,11.5,,300,10.4
2021,"2,940",,364,12.4,,328,11.2
2022,"2,925",,337,11.5,,345,11.9
2023,"2,870",,316,11,,309,10.8
2024,"2,860",,317,11.1,,280,9.8
,,,,,,,
Source: ,Inter-Departmental Business Register (IDBR) from the Office for National Statistics ,,,,,,
