Region,Births of New Enterprises (2019),Surviving After 1 Year – Count,"1-Year Survival Rate (2019 Cohort, %)",Surviving After 5 Years – Count,"5-Year Survival Rate (2019 Cohort, %)"
North East,9445.0,8900.0,94.2,7095.0,75.1
North West,36805.0,34665.0,94.2,27420.0,74.5
Yorkshire and The Humber,23400.0,22135.0,94.6,17850.0,76.3
East Midlands,23215.0,22020.0,94.9,17620.0,75.9
West Midlands,34440.0,32825.0,95.3,24255.0,70.4
East,33995.0,32375.0,95.2,26150.0,76.9
London,88550.0,83505.0,94.3,64890.0,73.3
South East,51560.0,48935.0,94.9,39200.0,76.0
South West,23945.0,22745.0,95.0,18610.0,77.7
Wales ,11745.0,11120.0,94.7,8755.0,74.5
Scotland,20680.0,19590.0,94.7,15700.0,75.9
Northern Ireland,6045.0,5325.0,88.1,4380.0,72.5
Total,363825.0,344140.0,94.6,271925.0,74.7
North East,9085.0,8525.0,93.8,6370.0,70.1
North West,35505.0,33030.0,93.0,25030.0,70.5
Yorkshire and The Humber,22655.0,21185.0,93.5,16030.0,70.8
East Midlands,22890.0,21670.0,94.7,15990.0,69.9
West Midlands,28145.0,26415.0,93.9,18385.0,65.3
East,30140.0,28240.0,93.7,22090.0,73.3
London,79640.0,73555.0,92.4,57855.0,72.6
South East,47685.0,43365.0,90.9,34465.0,72.3
South West,23365.0,21830.0,93.4,16925.0,72.4
Wales ,11385.0,10535.0,92.5,7690.0,67.5
Scotland,16850.0,15865.0,94.2,12480.0,74.1
Northern Ireland,5670.0,5255.0,92.7,4090.0,72.1
Total,333015.0,309470.0,92.9,237400.0,71.3
North East,10080.0,9425.0,93.5,7080.0,70.2
North West,39135.0,36060.0,92.1,26235.0,67.0
Yorkshire and The Humber,24980.0,23335.0,93.4,18005.0,72.1
East Midlands,23370.0,21965.0,94.0,16150.0,69.1
West Midlands,34155.0,31590.0,92.5,22390.0,65.6
East,33150.0,31040.0,93.6,23795.0,71.8
London,85305.0,80240.0,94.1,60010.0,70.3
South East,48375.0,45495.0,94.0,35620.0,73.6
South West,25935.0,24335.0,93.8,18950.0,73.1
Wales ,13945.0,12705.0,91.1,9580.0,68.7
Scotland,18910.0,17730.0,93.8,13745.0,72.7
Northern Ireland,6655.0,6000.0,90.2,4705.0,70.7
Total,363995.0,339920.0,93.4,256265.0,70.4
North East,9725.0,8910.0,91.6,6560.0,67.5
North West,36220.0,33335.0,92.0,24470.0,67.6
Yorkshire and The Humber,25890.0,23735.0,91.7,16780.0,64.8
East Midlands,22685.0,20980.0,92.5,15300.0,67.4
West Midlands,28695.0,26220.0,91.4,18620.0,64.9
East,31850.0,29425.0,92.4,22230.0,69.8
London,76845.0,71130.0,92.6,53525.0,69.7
South East,44160.0,41235.0,93.4,32200.0,72.9
South West,24510.0,22700.0,92.6,17275.0,70.5
Wales ,12090.0,11100.0,91.8,7875.0,65.1
Scotland,18870.0,17450.0,92.5,13450.0,71.3
Northern Ireland,5385.0,4890.0,90.8,3840.0,71.3
Total,336925.0,311110.0,92.3,232125.0,68.9
North East,8970.0,8310.0,92.6,,
North West,33005.0,30690.0,93.0,,
Yorkshire and The Humber,22280.0,20620.0,92.5,,
East Midlands,20495.0,19030.0,92.9,,
West Midlands,26275.0,24300.0,92.5,,
East,30360.0,28490.0,93.8,,
London,74650.0,69875.0,93.6,,
South East,42955.0,40475.0,94.2,,
South West,22875.0,21375.0,93.4,,
Wales ,10520.0,9800.0,93.2,,
Scotland,18275.0,17180.0,94.0,,
Northern Ireland,5365.0,4995.0,93.1,,
Total,316025.0,295140.0,93.4,,
