table_4.1___survival_of_newly_born_enterprises_region_by_births_and_their_survival_for_2019_to_2023,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11
This worksheet contains one table,,,,,,,,,,,
Units: Counts (control rounded to base 5),,,,,,,,,,,
2019,,,,,,,,,,,
North East,"9,445","8,900",94.2,"7,095",75.1,"5,430",57.5,"4,350",46.1,"3,675",38.9
North West,"36,805","34,665",94.2,"27,420",74.5,"20,165",54.8,"15,940",43.3,"13,455",36.6
Yorkshire and The Humber,"23,400","22,135",94.6,"17,850",76.3,"13,605",58.1,"10,975",46.9,"9,380",40.1
East Midlands,"23,215","22,020",94.9,"17,620",75.9,"13,600",58.6,"10,520",45.3,"8,945",38.5
West Midlands,"34,440","32,825",95.3,"24,255",70.4,"15,515",45,"12,480",36.2,"10,535",30.6
East,"33,995","32,375",95.2,"26,150",76.9,"19,630",57.7,"15,980",47,"13,745",40.4
London,"88,550","83,505",94.3,"64,890",73.3,"49,185",55.5,"39,655",44.8,"33,785",38.2
South East,"51,560","48,935",94.9,"39,200",76,"30,100",58.4,"24,140",46.8,"20,715",40.2
South West,"23,945","22,745",95,"18,610",77.7,"14,600",61,"11,990",50.1,"10,425",43.5
Wales ,"11,745","11,120",94.7,"8,755",74.5,"6,410",54.6,"5,200",44.3,"4,470",38.1
Scotland,"20,680","19,590",94.7,"15,700",75.9,"11,870",57.4,"9,605",46.4,"8,125",39.3
Northern Ireland,"6,045","5,325",88.1,"4,380",72.5,"3,360",55.6,"2,890",47.8,"2,590",42.8
Total,"363,825","344,140",94.6,"271,925",74.7,"203,470",55.9,"163,725",45,"139,845",38.4
2020,,,,,,,,,,,
North East,"9,085","8,525",93.8,"6,370",70.1,"4,720",52,"3,880",42.7,:,:
North West,"35,505","33,030",93,"25,030",70.5,"18,205",51.3,"14,675",41.3,:,:
Yorkshire and The Humber,"22,655","21,185",93.5,"16,030",70.8,"12,130",53.5,"10,035",44.3,:,:
East Midlands,"22,890","21,670",94.7,"15,990",69.9,"11,115",48.6,"9,305",40.7,:,:
West Midlands,"28,145","26,415",93.9,"18,385",65.3,"13,695",48.7,"11,285",40.1,:,:
East,"30,140","28,240",93.7,"22,090",73.3,"16,945",56.2,"14,210",47.1,:,:
London,"79,640","73,555",92.4,"57,855",72.6,"42,505",53.4,"35,085",44.1,:,:
South East,"47,685","43,365",90.9,"34,465",72.3,"25,615",53.7,"21,550",45.2,:,:
South West,"23,365","21,830",93.4,"16,925",72.4,"13,060",55.9,"11,020",47.2,:,:
Wales ,"11,385","10,535",92.5,"7,690",67.5,"5,695",50,"4,680",41.1,:,:
Scotland,"16,850","15,865",94.2,"12,480",74.1,"9,435",56,"7,840",46.5,:,:
Northern Ireland,"5,670","5,255",92.7,"4,090",72.1,"3,290",58,"2,850",50.3,:,:
Total,"333,015","309,470",92.9,"237,400",71.3,"176,410",53,"146,415",44,:,:
2021,,,,,,,,,,,
North East,"10,080","9,425",93.5,"7,080",70.2,"5,230",51.9,:,:,:,:
North West,"39,135","36,060",92.1,"26,235",67,"19,450",49.7,:,:,:,:
Yorkshire and The Humber,"24,980","23,335",93.4,"18,005",72.1,"13,425",53.7,:,:,:,:
East Midlands,"23,370","21,965",94,"16,150",69.1,"11,990",51.3,:,:,:,:
West Midlands,"34,155","31,590",92.5,"22,390",65.6,"15,340",44.9,:,:,:,:
East,"33,150","31,040",93.6,"23,795",71.8,"18,715",56.5,:,:,:,:
London,"85,305","80,240",94.1,"60,010",70.3,"46,360",54.3,:,:,:,:
South East,"48,375","45,495",94,"35,620",73.6,"27,975",57.8,:,:,:,:
South West,"25,935","24,335",93.8,"18,950",73.1,"15,060",58.1,:,:,:,:
Wales ,"13,945","12,705",91.1,"9,580",68.7,"6,640",47.6,:,:,:,:
Scotland,"18,910","17,730",93.8,"13,745",72.7,"10,895",57.6,:,:,:,:
Northern Ireland,"6,655","6,000",90.2,"4,705",70.7,"3,605",54.2,:,:,:,:
Total,"363,995","339,920",93.4,"256,265",70.4,"194,685",53.5,:,:,:,:
2022,,,,,,,,,,,
North East,"9,725","8,910",91.6,"6,560",67.5,:,:,:,:,:,:
North West,"36,220","33,335",92,"24,470",67.6,:,:,:,:,:,:
Yorkshire and The Humber,"25,890","23,735",91.7,"16,780",64.8,:,:,:,:,:,:
East Midlands,"22,685","20,980",92.5,"15,300",67.4,:,:,:,:,:,:
West Midlands,"28,695","26,220",91.4,"18,620",64.9,:,:,:,:,:,:
East,"31,850","29,425",92.4,"22,230",69.8,:,:,:,:,:,:
London,"76,845","71,130",92.6,"53,525",69.7,:,:,:,:,:,:
South East,"44,160","41,235",93.4,"32,200",72.9,:,:,:,:,:,:
South West,"24,510","22,700",92.6,"17,275",70.5,:,:,:,:,:,:
Wales ,"12,090","11,100",91.8,"7,875",65.1,:,:,:,:,:,:
Scotland,"18,870","17,450",92.5,"13,450",71.3,:,:,:,:,:,:
Northern Ireland,"5,385","4,890",90.8,"3,840",71.3,:,:,:,:,:,:
Total,"336,925","311,110",92.3,"232,125",68.9,:,:,:,:,:,:
2023,,,,,,,,,,,
North East,"8,970","8,310",92.6,:,:,:,:,:,:,:,:
North West,"33,005","30,690",93,:,:,:,:,:,:,:,:
Yorkshire and The Humber,"22,280","20,620",92.5,:,:,:,:,:,:,:,:
East Midlands,"20,495","19,030",92.9,:,:,:,:,:,:,:,:
West Midlands,"26,275","24,300",92.5,:,:,:,:,:,:,:,:
East,"30,360","28,490",93.8,:,:,:,:,:,:,:,:
London,"74,650","69,875",93.6,:,:,:,:,:,:,:,:
South East,"42,955","40,475",94.2,:,:,:,:,:,:,:,:
South West,"22,875","21,375",93.4,:,:,:,:,:,:,:,:
Wales ,"10,520","9,800",93.2,:,:,:,:,:,:,:,:
Scotland,"18,275","17,180",94,:,:,:,:,:,:,:,:
Northern Ireland,"5,365","4,995",93.1,:,:,:,:,:,:,:,:
Total,"316,025","295,140",93.4,:,:,:,:,:,:,:,:
